ID,Tick,Type,Carbon,Electricity
5,2,WIND,6525.3535,25.045378
18,2,GAS,1188166.5,48.494247
9,2,WIND,7616.574,25.132559
0,2,COAL,4093258.2,69.6865
20,2,COAL,4553280.0,72.898415
28,2,GAS,1208184.8,51.760864
25,2,COAL,3389063.5,67.31382
19,2,NUCLEAR,217302.83,133.34085
13,2,COAL,4402483.0,71.96445
27,2,COAL,3092017.0,61.65226
3,2,GAS,1314012.1,51.399117
17,2,WIND,10035.17,27.900974
24,2,WIND,7557.043,25.845814
11,2,COAL,3463620.0,64.980446
6,2,GAS,1405867.9,51.967743
4,2,GAS,1244684.1,51.113483
23,2,WIND,7745.0674,25.055809
22,2,WIND,8364.535,27.175673
26,2,COAL,3731577.8,66.92546
12,2,COAL,3698910.2,69.69991
16,2,GAS,1257477.5,50.962288
29,2,WIND,8649.663,26.973661
5,2,WIND,7698.7783,25.407988
18,2,GAS,1212059.5,49.92802
9,2,WIND,8287.776,26.143892
0,2,GAS,1200844.9,48.834393
20,2,GAS,1118607.6,48.77899
28,2,NUCLEAR,267862.2,151.47624
25,2,GAS,1138836.2,48.315716
13,2,GAS,1390071.8,51.626858
27,2,COAL,3936257.0,68.1327
3,2,NUCLEAR,271769.5,149.8687
26,3,WIND,6664.121,23.230957
22,3,WIND,6749.568,23.550034
25,3,WIND,7726.5933,24.347055
7,3,COAL,4750975.0,73.965324
13,3,WIND,6351.1216,23.299572
29,3,WIND,7075.251,24.024067
11,3,WIND,5487.323,23.06256
16,3,WIND,6111.5796,22.333403
18,3,WIND,6392.752,23.330624
8,3,COAL,3718055.0,67.39967
27,3,WIND,7050.296,23.382
3,3,WIND,7852.4297,25.271923
24,3,WIND,6550.8,23.451092
10,3,WIND,7672.36,25.379017
0,3,WIND,6277.0415,22.371792
1,3,WIND,6740.8784,22.934078
19,3,WIND,7462.057,24.700108
6,3,WIND,6620.162,23.528091
12,3,WIND,5993.2485,22.363504
17,3,WIND,7055.4863,24.617933
28,3,WIND,7471.421,24.365429
5,3,WIND,6539.2695,23.860136
4,3,WIND,6298.7544,23.379398
9,3,WIND,6727.553,23.4434
23,3,WIND,6434.755,23.367205
20,3,WIND,7113.765,24.756813
2,3,WIND,7949.9355,25.02797
15,3,WIND,7666.6606,25.540228
21,3,WIND,6364.914,23.306051
14,3,WIND,6939.98,23.551096
26,3,WIND,6187.7803,23.341574
22,3,WIND,6761.327,24.054058
25,3,WIND,8098.2017,25.126965
