Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
147,5.4726092E7,6.6842156E7,5933498.5,586830.2,1045.8567,2781.1038,3293.2112,1933.5973
148,5.4726092E7,6.6842156E7,5933498.5,594631.5,1045.8567,2781.1038,3293.2112,1959.4257
149,5.4726092E7,6.6842156E7,5933498.5,594631.5,1045.8567,2781.1038,3293.2112,1959.4257
150,5.4726092E7,6.4433972E7,5933498.5,594631.5,1045.8567,2679.8525,3293.2112,1959.4257
151,5.4726092E7,6.547678E7,5933498.5,594631.5,1045.8567,2727.0952,3293.2112,1959.4257
152,5.4726092E7,6.5578932E7,5933498.5,594631.5,1045.8567,2733.2502,3293.2112,1959.4257
153,5.4726092E7,6.5578932E7,5933498.5,601828.75,1045.8567,2733.2502,3293.2112,1984.1144
154,5.4726092E7,6.5578932E7,5933498.5,609545.0,1045.8567,2733.2502,3293.2112,2009.3749
155,5.4726092E7,6.4455124E7,5933498.5,609545.0,1045.8567,2680.6023,3293.2112,2009.3749
156,5.4726092E7,6.4455124E7,5933498.5,617772.3,1045.8567,2680.6023,3293.2112,2035.0264
157,5.4726092E7,6.4439448E7,5933498.5,617772.3,1045.8567,2681.241,3293.2112,2035.0264
158,5.4726092E7,6.4439448E7,5933498.5,624929.7,1045.8567,2681.241,3293.2112,2059.1177
159,5.4726092E7,6.4439448E7,5933498.5,624929.7,1045.8567,2681.241,3293.2112,2059.1177
160,5.4726092E7,6.5587232E7,5933498.5,624929.7,1045.8567,2731.2112,3293.2112,2059.1177
161,5.4726092E7,6.5587232E7,5933498.5,624929.7,1045.8567,2731.2112,3293.2112,2059.1177
162,5.4726092E7,6.5587232E7,5933498.5,624929.7,1045.8567,2731.2112,3293.2112,2059.1177
163,5.4726092E7,6.5587232E7,5933498.5,624929.7,1045.8567,2731.2112,3293.2112,2059.1177
164,5.4726092E7,6.5587232E7,5933498.5,624929.7,1045.8567,2731.2112,3293.2112,2059.1177
165,5.4726092E7,6.5587232E7,5933498.5,631816.75,1045.8567,2731.2112,3293.2112,2083.2673
166,5.7590028E7,6.4558432E7,5933498.5,631816.75,1107.4194,2684.4524,3293.2112,2083.2673
167,5.7590028E7,6.4558432E7,5933498.5,631816.75,1107.4194,2684.4524,3293.2112,2083.2673
168,5.7679932E7,6.4558432E7,5933498.5,631816.75,1108.2819,2684.4524,3293.2112,2083.2673
169,5.7679932E7,6.4558432E7,5933498.5,631816.75,1108.2819,2684.4524,3293.2112,2083.2673
170,5.7679932E7,6.4558432E7,5933498.5,631816.75,1108.2819,2684.4524,3293.2112,2083.2673
171,5.7679932E7,6.4558432E7,5933498.5,638503.0,1108.2819,2684.4524,3293.2112,2106.6086
172,5.7679932E7,6.4558432E7,5933498.5,638503.0,1108.2819,2684.4524,3293.2112,2106.6086
173,5.7679932E7,6.467166E7,5933498.5,638503.0,1108.2819,2684.1443,3293.2112,2106.6086
174,5.7679932E7,6.3587036E7,5933498.5,643942.1,1108.2819,2634.923,3293.2112,2127.689
175,5.7679932E7,6.3587036E7,5933498.5,651373.9,1108.2819,2634.923,3293.2112,2152.828
176,6.1095796E7,6.3587036E7,5933498.5,651373.9,1173.1777,2634.923,3293.2112,2152.828
177,6.1095796E7,6.3587036E7,5933498.5,651373.9,1173.1777,2634.923,3293.2112,2152.828
178,6.1095796E7,6.4783232E7,5933498.5,651373.9,1173.1777,2685.9727,3293.2112,2152.828
179,5.4443048E7,6.371742E7,6232827.5,651373.9,1041.0527,2635.882,3448.5632,2152.828
180,4.6775976E7,6.0016808E7,6507960.5,651373.9,899.31647,2482.2427,3597.8933,2152.828
181,4.6775976E7,6.0016808E7,6507960.5,651373.9,899.31647,2482.2427,3597.8933,2152.828
182,5.0679264E7,6.1302736E7,6507960.5,658537.7,971.3708,2532.9177,3597.8933,2177.5793
183,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
184,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
185,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
186,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
187,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
188,5.0679264E7,6.371742E7,6507960.5,658537.7,971.3708,2635.882,3597.8933,2177.5793
189,5.0679264E7,6.371742E7,6507960.5,664823.1,971.3708,2635.882,3597.8933,2200.8645
190,5.0679264E7,6.2456412E7,6507960.5,672185.0,971.3708,2586.22,3597.8933,2224.6902
191,5.0679264E7,6.2456412E7,6507960.5,678993.6,971.3708,2586.22,3597.8933,2248.6626
192,5.0679264E7,6.2456412E7,6507960.5,678993.6,971.3708,2586.22,3597.8933,2248.6626
193,5.0679264E7,6.2456412E7,6507960.5,686128.06,971.3708,2586.22,3597.8933,2272.8167
194,5.0679264E7,6.2456412E7,6507960.5,686128.06,971.3708,2586.22,3597.8933,2272.8167
195,5.0679264E7,6.3751616E7,6507960.5,686128.06,971.3708,2635.9543,3597.8933,2272.8167
196,5.0679264E7,6.3751616E7,6507960.5,686128.06,971.3708,2635.9543,3597.8933,2272.8167
197,5.0679264E7,6.3751616E7,6507960.5,686128.06,971.3708,2635.9543,3597.8933,2272.8167
198,5.0679264E7,6.3751616E7,6507960.5,692806.9,971.3708,2635.9543,3597.8933,2296.3943
199,5.0679264E7,6.3751616E7,6507960.5,692806.9,971.3708,2635.9543,3597.8933,2296.3943
200,5.0679264E7,6.3751616E7,6507960.5,692806.9,971.3708,2635.9543,3597.8933,2296.3943
201,5.0679264E7,6.2525612E7,6507960.5,692806.9,971.3708,2585.968,3597.8933,2296.3943
202,5.0679264E7,6.2525612E7,6507960.5,692806.9,971.3708,2585.968,3597.8933,2296.3943
203,5.0679264E7,6.2525612E7,6507960.5,692806.9,971.3708,2585.968,3597.8933,2296.3943
204,5.0679264E7,6.2525612E7,6507960.5,692806.9,971.3708,2585.968,3597.8933,2296.3943
205,5.0679264E7,6.3519332E7,6507960.5,692806.9,971.3708,2633.148,3597.8933,2296.3943
206,5.458848E7,6.3519332E7,6507960.5,692806.9,1043.5571,2633.148,3597.8933,2296.3943
207,5.458848E7,6.3519332E7,6507960.5,692806.9,1043.5571,2633.148,3597.8933,2296.3943
208,5.8697728E7,6.2137936E7,6507960.5,692806.9,1113.7592,2580.3904,3597.8933,2296.3943
209,5.8697728E7,6.2028652E7,6507960.5,692806.9,1113.7592,2578.0752,3597.8933,2296.3943
210,5.8697728E7,6.2028652E7,6507960.5,692806.9,1113.7592,2578.0752,3597.8933,2296.3943
211,5.8697728E7,6.2028652E7,6507960.5,692806.9,1113.7592,2578.0752,3597.8933,2296.3943
212,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
213,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
214,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
215,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
216,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
217,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
218,5.8697728E7,6.2008548E7,6507960.5,692806.9,1113.7592,2575.5498,3597.8933,2296.3943
219,5.8697728E7,6.2008548E7,6507960.5,700984.44,1113.7592,2575.5498,3597.8933,2322.501
220,5.8697728E7,6.2008548E7,6507960.5,700984.44,1113.7592,2575.5498,3597.8933,2322.501
221,5.5281864E7,5.8360268E7,6794676.5,700984.44,1048.8632,2422.192,3749.5525,2322.501
222,5.5281864E7,5.9556464E7,6794676.5,700984.44,1048.8632,2473.2417,3749.5525,2322.501
223,5.504034E7,5.7207872E7,6794676.5,700984.44,1048.2887,2372.956,3749.5525,2322.501
224,5.504034E7,5.745846E7,6794676.5,700984.44,1048.2887,2376.7908,3749.5525,2322.501
225,5.504034E7,5.8654656E7,6794676.5,700984.44,1048.2887,2427.8406,3749.5525,2322.501
226,5.504034E7,5.8654656E7,6794676.5,700984.44,1048.2887,2427.8406,3749.5525,2322.501
